metric,value,unit
sample_count,6000001,samples
duration,60.000000000,s
sample_rate,100000.000000,Hz
mean_current,25.416651984,µA
sample_std_current,3.706868927,µA
min_current,20.328000000,µA
max_current,35.683000000,µA
median_current,23.946000000,µA
percentile_95_current,33.124000000,µA
percentile_99_current,34.051000000,µA
integrated_charge,1.524999098,mC
D0_all_low,TRUE,boolean
D0_non_low_samples,0,samples
D0_invalid_samples,0,samples
D1_all_low,TRUE,boolean
D1_non_low_samples,0,samples
D1_invalid_samples,0,samples
D2_all_low,TRUE,boolean
D2_non_low_samples,0,samples
D2_invalid_samples,0,samples
D3_all_low,TRUE,boolean
D3_non_low_samples,0,samples
D3_invalid_samples,0,samples
